ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus
710,15159.31,88.25,1,1.61,65.46,3,4.58,3.72,9.92,80.75,8,3156.99,0.452,6.59,341.79,1
801,5444.11,95.19,1,4.37,91.02,20,1.56,7.63,3.93,98.61,0,3813.35,0.156,7.57,167.74,0
784,11020.33,84.61,2,1.84,68.07,2,3.3,6.38,0.89,95.8,3,3017.91,0.405,8.15,347.28,1
275,18434.52,98.12,0,1.45,89.25,21,4.95,8.72,5.81,99.64,7,1560.75,0.105,9.2,403.04,0
427,15074.19,90.0,2,1.89,92.22,19,3.35,6.65,9.2,98.2,3,1357.74,0.263,1.72,441.91,0
520,8564.88,95.12,1,1.41,65.01,3,2.63,5.87,7.87,86.32,9,2755.43,0.199,6.14,227.46,1
548,17791.72,96.99,5,1.93,63.47,18,2.6,4.09,8.36,93.83,10,4691.54,0.382,7.74,113.57,1
139,10220.47,99.98,5,0.87,97.98,2,1.88,8.34,9.28,86.13,1,3231.12,0.106,2.95,343.18,0
592,17800.17,84.48,0,1.21,78.52,14,3.0,3.57,6.37,97.76,2,2432.88,0.286,3.37,190.31,0
239,9484.15,85.74,3,2.38,85.21,23,4.79,3.94,9.95,88.22,0,4634.82,0.379,3.4,412.36,1
769,13854.8,85.01,3,4.46,60.93,5,3.94,8.73,0.33,87.52,7,2554.53,0.119,6.15,371.95,1
715,10954.1,85.26,2,0.76,71.15,4,2.12,7.93,8.35,98.28,9,3036.59,0.459,4.3,409.27,1
931,9122.38,91.65,2,1.46,80.22,10,1.66,6.9,8.57,96.73,6,1466.0,0.244,6.99,487.01,1
771,18298.36,99.87,4,4.59,95.45,9,4.42,2.31,9.17,99.33,1,3949.6,0.166,6.49,333.82,1
430,7813.91,99.81,2,4.51,70.86,1,0.68,3.02,4.78,81.33,1,3801.21,0.19,6.91,461.73,1
971,6272.17,90.54,0,3.56,91.01,11,4.25,6.0,7.88,84.87,0,4176.98,0.236,3.27,356.76,1
470,10128.9,92.78,2,1.58,86.49,6,1.28,7.97,1.95,86.02,5,2300.77,0.179,7.91,172.7,0
393,15764.59,97.2,1,2.39,64.61,3,3.58,5.71,6.03,88.49,7,2744.21,0.304,6.98,419.72,1
915,17111.47,98.66,2,1.45,71.74,6,4.03,2.14,3.59,89.46,1,1673.37,0.353,2.18,377.48,1
433,19981.15,84.08,1,1.08,69.51,0,2.38,3.47,5.96,85.83,9,4858.02,0.273,2.8,491.18,1
168,9445.43,90.57,0,2.21,77.7,22,0.96,6.71,6.76,95.81,2,1344.31,0.271,3.71,197.37,0
523,11119.13,96.66,5,3.09,85.41,24,4.22,7.55,3.47,84.46,5,3596.05,0.413,9.42,233.25,1
816,7052.32,86.06,0,2.12,77.34,9,1.84,2.27,2.16,93.93,7,3821.03,0.22,3.94,428.6,1
270,13623.08,88.8,4,3.25,69.78,21,1.6,2.35,3.22,97.04,5,1630.95,0.349,1.18,125.16,1
517,19963.7,99.71,4,1.83,87.84,11,2.55,4.09,6.64,92.07,5,2461.29,0.457,2.27,353.28,0
217,15513.22,99.7,3,2.06,83.38,22,2.18,2.67,6.77,87.08,3,1172.51,0.189,1.29,314.19,0
718,13928.19,98.12,5,4.06,80.77,4,3.42,6.34,7.41,83.76,4,3226.43,0.348,4.63,167.53,1
528,10885.54,95.97,0,4.45,82.18,7,0.69,2.99,1.27,82.69,2,4979.75,0.479,8.17,166.05,1
397,18729.48,85.38,1,1.95,68.88,18,2.18,7.19,8.19,94.88,3,2719.54,0.312,5.05,424.08,1
304,12453.75,86.42,1,3.07,87.22,5,4.46,8.22,6.88,89.38,8,4960.03,0.491,8.55,106.18,1
608,7015.5,90.95,3,1.75,75.5,20,0.18,9.76,0.31,80.93,9,1504.9,0.224,1.43,398.74,1
703,10480.68,91.22,3,0.74,74.54,10,2.29,9.59,3.36,99.68,9,2569.82,0.326,5.23,393.07,1
947,6007.5,90.11,5,3.82,65.99,10,3.3,4.19,4.67,93.43,3,4607.86,0.224,8.08,359.87,1
493,8029.69,92.73,2,1.27,83.87,11,4.44,2.24,3.61,96.88,3,4506.78,0.101,7.07,263.81,1
244,5265.03,88.17,1,2.42,84.11,19,2.97,4.64,1.17,88.76,0,2294.37,0.499,8.68,111.33,0
850,11799.2,94.98,5,2.69,73.61,0,4.12,7.67,2.07,99.11,3,3714.44,0.196,3.46,420.71,1
667,14518.1,86.67,4,1.33,94.39,18,1.11,2.48,0.25,83.99,6,4544.64,0.489,5.51,150.28,0
730,10149.39,86.61,4,0.93,93.82,19,1.76,4.88,0.93,83.7,2,4067.51,0.361,7.09,212.31,0
187,11305.73,82.54,2,2.07,64.36,20,4.71,4.38,2.66,97.81,8,3513.9,0.462,2.52,478.71,1
381,19388.14,83.77,2,4.79,87.8,24,4.43,3.75,8.2,97.83,0,1610.3,0.487,8.34,220.74,1
791,16279.45,97.01,2,3.27,75.75,19,2.79,7.65,5.27,89.98,4,1292.01,0.327,3.8,202.06,1
849,13112.85,88.93,4,2.22,99.99,13,2.38,7.27,4.24,82.52,3,3458.49,0.5,1.84,489.35,1
492,9268.11,84.56,1,0.68,69.0,11,2.26,6.28,6.62,86.1,5,3001.1,0.407,7.89,134.37,1
825,18454.95,95.19,5,3.2,71.22,9,0.29,9.29,5.42,95.08,0,1952.15,0.31,7.35,164.28,1
858,8526.46,91.08,1,0.92,77.68,20,4.46,2.83,1.32,96.92,4,2171.08,0.362,8.95,275.33,0
449,9880.14,80.42,2,2.94,70.75,9,4.09,3.2,2.23,86.95,8,2568.35,0.178,9.03,415.07,1
909,18635.97,86.33,1,3.88,87.68,14,2.28,5.07,2.23,81.22,9,2982.08,0.104,3.51,453.74,1
359,12943.13,83.54,3,2.41,79.24,2,1.4,7.25,6.0,93.31,2,2561.04,0.203,6.77,402.25,1
315,16134.77,93.12,4,1.85,68.84,7,1.71,6.67,4.62,94.79,4,2549.17,0.274,9.99,490.47,1
714,13861.17,85.5,5,0.71,80.25,6,0.62,2.59,3.88,88.48,7,1462.93,0.191,3.19,106.74,1
673,14801.59,81.3,4,0.61,95.55,10,3.61,9.67,5.57,91.66,5,4462.36,0.306,5.26,347.8,1
225,9490.75,81.1,1,2.44,91.7,12,2.78,4.44,9.7,99.75,5,3436.62,0.363,9.19,146.54,1
850,8620.58,91.63,1,4.48,79.95,17,1.17,4.87,3.14,84.9,3,1584.41,0.362,1.93,464.15,1
280,9837.39,80.43,5,1.6,71.54,10,3.12,6.99,5.2,91.46,9,2695.5,0.458,9.35,474.12,1
825,7331.62,96.98,2,3.08,67.2,3,4.9,9.56,4.8,92.22,6,2666.86,0.487,5.39,221.21,1
106,18114.72,83.11,0,3.58,95.14,13,0.61,7.3,7.17,90.98,10,3402.48,0.456,9.04,431.08,1
817,9248.7,92.13,4,0.77,88.41,1,2.29,9.64,7.3,97.38,8,3435.48,0.348,6.59,352.11,1
809,13422.34,88.89,3,1.19,82.89,21,2.47,3.5,7.29,92.1,4,3580.89,0.182,7.04,140.2,1
803,16879.62,88.86,0,1.99,95.18,19,0.83,6.95,2.02,90.16,3,3791.61,0.477,7.96,341.11,0
699,16757.36,81.44,4,3.52,64.87,5,2.66,8.63,4.49,82.46,0,1413.42,0.17,1.6,490.42,1
524,11575.79,96.06,3,2.48,87.3,6,3.03,6.07,8.11,94.06,6,2219.69,0.161,6.65,223.24,1
735,12143.86,97.86,3,3.8,68.67,0,0.79,4.9,3.82,82.64,8,1069.39,0.227,9.32,100.46,1
349,19920.53,80.22,5,4.4,64.82,9,0.77,9.88,9.84,80.53,3,2818.57,0.329,9.61,490.72,1
803,15118.96,83.57,2,3.91,78.62,0,4.28,3.13,3.65,89.77,0,2717.72,0.373,9.71,265.59,1
600,17219.58,98.08,2,4.97,75.5,23,1.56,5.29,4.98,91.45,9,3937.31,0.105,6.81,272.37,1
513,18538.31,90.99,3,3.89,97.65,3,3.15,8.99,4.75,99.98,2,1668.47,0.411,6.7,385.04,1
555,16813.85,83.0,1,4.33,72.96,16,3.13,9.2,4.34,94.25,6,3525.98,0.17,5.97,341.75,1
612,7777.69,84.06,0,4.25,92.6,14,4.2,9.84,8.46,96.97,0,2226.78,0.219,6.47,220.79,1
133,13432.56,93.2,5,3.79,89.95,5,3.7,9.08,1.55,86.93,0,2527.67,0.229,6.51,139.99,0
225,6528.41,94.5,1,4.11,86.72,20,4.2,2.41,5.68,90.18,9,3877.15,0.233,1.38,430.95,1
321,14793.83,91.99,3,4.71,96.82,2,3.13,9.44,6.19,99.49,7,1286.19,0.404,1.8,293.35,1
203,19330.24,99.06,1,2.64,76.32,22,2.25,5.43,8.51,88.35,0,2371.13,0.116,6.57,368.99,0
496,12690.98,89.88,1,3.37,75.59,18,1.97,7.21,6.09,96.15,1,2565.29,0.179,3.83,444.2,1
702,11494.59,86.01,3,2.82,66.44,15,1.9,5.15,9.6,90.52,5,3863.0,0.109,3.71,107.09,1
689,5537.64,89.54,4,4.33,71.03,21,2.09,8.51,8.72,84.48,7,1796.9,0.411,2.74,443.75,1
524,19396.62,87.19,2,2.44,95.19,10,0.65,6.61,3.49,91.61,4,4789.65,0.493,8.21,400.72,1
870,6545.04,84.49,0,4.19,78.98,7,2.12,8.76,8.6,84.36,9,4991.05,0.364,9.68,478.73,1
609,5616.19,80.92,1,4.1,73.65,3,1.95,3.55,9.58,80.06,7,4275.64,0.336,6.65,193.44,1
171,8691.0,87.04,0,4.83,68.64,23,0.17,3.48,2.57,84.72,6,2198.85,0.463,9.51,228.97,1
789,5982.96,94.23,5,1.62,79.4,10,1.38,5.52,6.1,83.86,3,3655.47,0.202,8.95,364.59,1
617,11826.77,80.37,1,3.69,88.67,20,3.76,2.04,2.82,87.42,7,1332.59,0.127,2.96,470.32,1
671,12741.32,88.78,2,3.91,71.47,8,2.89,7.54,6.5,97.77,9,4485.12,0.304,2.38,497.07,1
609,9688.55,92.88,0,4.71,90.31,23,4.03,4.37,0.94,87.76,0,3063.97,0.204,2.9,266.7,0
598,5764.41,92.21,2,4.58,85.19,21,2.71,6.46,7.34,96.9,8,1705.76,0.28,1.87,315.69,1
181,6674.01,95.53,5,3.08,91.5,7,4.27,2.56,4.2,91.11,9,2309.67,0.283,6.25,168.22,1
603,10767.57,96.21,2,3.11,70.04,12,3.98,3.37,5.87,80.15,4,4202.97,0.228,3.54,377.59,1
816,5907.93,94.23,3,1.25,85.24,19,0.49,6.98,0.26,83.77,8,4480.91,0.295,9.22,434.95,1
373,15472.85,82.06,1,4.89,66.15,5,4.89,4.45,6.95,98.63,3,3078.85,0.252,6.52,419.46,1
643,8105.31,89.5,0,1.65,74.55,0,0.07,3.72,4.96,92.08,2,2921.25,0.145,4.24,238.34,0
127,9531.07,92.07,4,3.76,88.97,7,2.98,3.83,6.25,98.59,8,4002.94,0.447,9.86,485.31,1
413,10911.89,84.91,0,4.08,85.27,14,3.96,3.72,3.16,86.2,3,4304.76,0.381,9.58,148.14,1
493,11249.14,80.85,2,2.49,67.51,3,1.66,6.98,1.46,94.33,8,4059.39,0.117,8.01,297.59,1
985,5024.91,84.47,1,1.45,94.33,8,2.99,3.34,4.35,95.44,3,2537.71,0.146,8.13,321.84,0
293,6681.06,89.1,0,1.35,62.13,22,1.81,4.9,9.44,99.51,4,3567.7,0.139,9.8,314.61,0
349,17941.47,88.28,3,4.35,83.81,1,0.3,7.5,2.28,80.36,7,4429.44,0.125,6.4,403.16,1
468,5018.5,83.53,5,2.8,99.35,1,0.04,6.11,6.76,99.04,3,1607.04,0.124,8.92,343.84,0
994,12622.51,96.49,0,0.91,81.26,10,0.47,6.78,0.5,87.83,8,2552.55,0.163,1.58,130.85,0
868,12342.53,98.51,4,3.73,92.03,0,0.49,4.01,7.18,96.76,0,1226.48,0.439,5.99,171.94,0
131,9996.41,84.03,3,1.63,83.81,0,3.05,9.46,2.38,90.89,0,2635.51,0.431,5.52,312.9,0
310,11469.91,98.59,4,4.44,91.32,4,2.63,5.31,4.52,91.29,0,4089.13,0.413,1.34,377.82,1
840,16708.72,80.36,0,1.89,86.22,2,2.28,4.3,3.68,87.19,2,1788.11,0.346,1.78,305.67,1
152,17618.06,98.5,5,1.4,87.65,20,3.46,9.23,1.13,96.57,0,3167.55,0.389,1.2,242.2,0
870,8905.23,99.04,0,0.88,69.11,3,0.08,7.24,3.46,85.28,4,1146.34,0.395,3.65,120.45,0
353,9837.36,80.24,5,2.8,89.67,13,1.35,6.91,3.5,89.84,0,4590.6,0.456,1.48,414.35,1
926,8637.24,95.26,3,2.53,69.52,17,3.89,9.09,5.22,91.2,8,4280.02,0.393,4.81,298.88,1
364,12197.95,99.4,2,3.88,99.23,15,4.55,2.47,9.72,94.85,1,3097.64,0.395,8.31,315.52,1
491,15248.88,98.12,0,2.59,69.11,16,2.19,8.7,4.7,89.43,10,3823.15,0.422,6.52,287.58,1
696,8423.79,99.41,3,2.05,69.47,8,0.41,7.42,9.14,93.61,9,1415.66,0.323,7.06,206.14,1
213,9961.04,91.01,0,1.68,94.35,22,3.99,4.88,4.62,89.71,7,4380.84,0.185,1.28,210.55,0
601,18955.77,81.56,3,1.75,69.72,1,4.43,4.05,1.08,93.19,8,3861.05,0.134,8.56,125.4,1
555,5728.54,97.0,4,4.68,74.44,2,2.07,2.84,2.3,93.48,8,1479.87,0.268,2.32,383.04,1
806,11911.54,92.28,1,1.24,88.59,21,1.22,9.53,4.08,94.19,9,4922.76,0.137,3.72,208.75,0
997,15673.37,92.29,1,4.95,66.35,1,0.22,3.14,3.25,96.47,6,1090.12,0.168,5.65,219.42,1
698,7256.81,88.35,1,1.97,66.36,4,2.96,4.08,8.66,90.81,6,3514.04,0.11,9.37,497.4,1
468,5710.61,91.44,1,0.9,79.45,4,4.55,7.53,6.79,83.87,5,1687.02,0.22,9.98,254.33,0
466,7073.08,83.07,0,1.62,69.75,0,3.39,7.68,5.78,93.59,6,3877.03,0.488,8.04,304.28,1
476,18782.35,94.8,1,0.76,69.43,2,1.59,3.29,4.91,81.54,4,1281.63,0.252,7.56,254.59,1
833,5138.9,81.5,3,4.06,60.37,14,3.21,8.51,3.97,84.38,1,1324.4,0.196,5.75,216.08,1
389,7824.83,94.6,1,2.81,74.82,16,4.16,6.08,6.12,95.84,10,2865.17,0.261,6.99,102.34,1
250,5469.25,96.98,4,2.02,72.73,2,2.38,8.79,1.25,88.7,7,4976.04,0.221,2.3,441.95,1
401,6659.44,89.45,4,3.48,61.25,23,4.1,2.7,1.63,89.96,7,2106.06,0.37,3.42,289.26,1
120,14302.24,90.2,4,3.34,84.85,2,1.96,2.34,3.03,99.75,3,3450.11,0.354,9.86,387.96,1
195,8624.58,86.24,3,4.73,85.07,17,1.74,7.1,1.71,84.7,8,3074.4,0.111,9.82,483.46,1
181,13538.18,99.39,1,4.83,62.83,20,2.91,3.2,6.77,80.39,5,4368.48,0.305,3.91,101.13,1
795,13852.93,94.66,5,3.56,72.68,13,2.32,6.2,0.25,82.23,0,2154.36,0.114,3.17,370.02,1
750,17741.53,87.38,1,4.18,94.91,12,4.89,2.11,1.6,84.89,10,3219.78,0.371,3.07,147.46,1
727,5071.12,83.5,2,4.07,83.29,2,2.58,8.24,9.03,94.52,10,4802.49,0.474,5.36,283.19,1
516,17800.54,84.39,2,2.71,76.48,6,1.93,9.2,9.98,95.52,9,2330.34,0.463,3.01,438.71,1
746,14286.79,89.28,4,3.67,78.6,21,1.97,8.71,4.88,91.31,5,2757.62,0.182,6.84,128.6,1
245,7441.15,98.85,3,0.85,68.33,8,2.74,9.67,4.95,85.1,2,4555.25,0.397,1.67,495.85,1
911,16594.06,94.68,4,3.91,92.48,0,1.77,9.22,7.73,90.43,0,2330.0,0.417,1.93,332.33,1
551,17832.37,84.3,5,4.83,96.56,18,3.61,5.55,0.36,80.3,8,2522.7,0.446,3.49,258.0,1
945,8813.95,97.19,2,0.88,96.43,17,1.9,5.19,4.27,93.64,9,2216.48,0.204,8.0,107.8,0
237,18781.91,87.56,5,4.26,68.96,1,1.92,9.17,1.0,92.29,1,4238.13,0.28,3.91,334.73,1
548,11816.86,97.03,1,4.7,72.43,1,3.08,9.42,4.01,80.44,7,4721.55,0.189,5.24,297.96,1
727,14051.37,84.83,5,1.52,66.42,2,0.3,9.78,9.84,96.34,0,3524.4,0.11,6.91,186.13,1
546,19769.74,92.37,1,2.86,72.29,1,3.28,8.15,7.54,95.27,8,3494.52,0.364,8.1,296.18,1
501,10423.04,98.53,5,4.68,73.31,15,2.52,3.62,9.85,86.16,0,2560.01,0.273,3.76,105.12,1
249,17197.39,85.16,2,4.82,85.32,3,2.27,9.56,7.46,92.71,10,1049.93,0.199,7.58,499.79,1
443,9775.99,93.86,5,1.08,67.59,15,3.6,9.58,6.08,92.03,1,1695.75,0.439,3.57,232.85,0
315,16988.2,99.75,0,2.07,96.78,4,3.79,7.33,7.54,82.86,4,1589.75,0.298,6.8,292.09,0
371,14011.01,83.01,2,3.64,64.12,24,4.23,8.86,6.59,83.87,7,1463.53,0.498,5.06,413.91,1
716,8245.34,81.77,5,1.5,60.28,18,1.87,6.49,4.64,93.66,9,3616.19,0.417,9.34,385.11,1
667,11210.39,93.48,0,1.96,94.2,9,1.64,9.55,2.93,98.67,3,1545.4,0.448,9.84,455.42,0
647,9764.53,86.79,1,0.6,88.15,10,3.57,2.75,5.2,91.53,10,1342.54,0.409,7.97,476.53,1
425,6171.63,81.42,0,1.19,74.21,1,2.91,8.91,2.58,91.36,0,2530.33,0.142,9.24,175.67,0
964,5447.52,89.51,1,3.03,83.82,1,3.16,2.44,4.87,92.93,5,1996.09,0.126,2.23,256.16,1
178,10197.18,95.08,2,3.44,68.94,13,2.78,4.71,1.46,88.81,10,1583.44,0.466,6.89,374.73,1
408,5285.51,85.7,3,3.42,66.74,0,3.86,3.08,5.65,81.08,3,1584.51,0.155,2.79,118.01,1
206,7482.32,86.7,1,4.0,78.85,15,0.95,5.83,2.45,87.93,5,2024.82,0.256,3.49,386.78,1
405,15877.75,96.91,0,2.37,74.13,9,2.78,3.86,2.94,98.01,4,3147.4,0.344,5.71,101.95,1
966,15621.37,90.4,1,1.73,84.61,3,0.79,9.62,4.99,96.1,4,4032.38,0.185,7.68,465.64,1
430,16078.71,96.85,5,0.57,68.73,13,2.04,6.47,1.63,98.55,8,4411.11,0.19,7.49,387.27,1
918,9757.3,88.93,5,1.43,86.52,13,3.32,9.18,9.62,83.06,5,4005.67,0.286,8.83,326.2,1
546,18350.29,99.06,1,1.91,90.67,18,2.47,4.22,4.47,90.12,7,3512.85,0.244,6.03,271.56,0
730,13907.46,93.02,1,1.3,66.67,4,1.9,2.21,3.52,91.69,5,4630.5,0.371,9.34,495.21,1
512,6890.4,82.32,0,0.59,61.75,13,4.42,8.21,0.29,84.2,10,3078.95,0.13,8.99,394.6,1
339,7155.78,97.7,5,1.21,77.58,21,3.86,7.62,8.43,84.02,5,3533.43,0.296,8.64,422.92,1
788,15396.43,89.79,4,3.5,90.96,6,2.63,6.36,6.26,95.64,8,2646.48,0.17,3.07,430.15,1
973,7594.16,82.83,4,3.33,86.03,20,4.75,8.52,4.16,93.44,6,2309.54,0.343,5.78,108.75,1
337,12609.39,83.05,1,4.71,88.08,18,2.12,8.72,2.46,92.94,8,2326.85,0.146,7.63,121.87,1
801,19876.62,93.75,3,4.09,76.11,10,3.94,6.7,7.45,85.34,9,1593.27,0.179,9.78,179.35,1
335,5060.11,80.95,0,3.05,69.4,22,0.84,9.73,9.45,90.14,2,4186.39,0.422,1.1,362.09,1
745,5248.7,85.73,4,1.12,81.27,24,1.43,7.76,3.81,80.46,3,1221.47,0.194,3.94,349.58,1
810,19896.27,82.8,3,3.04,68.17,5,1.69,7.42,1.35,82.6,3,3698.74,0.395,4.08,230.07,1
504,13769.58,88.82,1,0.78,89.05,24,0.53,4.89,1.09,90.37,5,4457.84,0.209,3.6,489.2,0
763,6903.65,88.29,4,2.44,67.88,0,2.51,2.02,0.06,86.19,5,2989.71,0.194,8.36,137.24,1
345,18459.53,90.44,3,2.26,71.65,3,0.96,3.93,7.44,99.31,0,1280.8,0.22,1.41,410.69,0
171,18205.7,85.59,2,2.43,80.26,1,3.17,8.11,9.81,89.43,9,2713.67,0.452,4.23,292.35,1
186,13043.01,80.64,1,1.76,79.47,9,0.95,7.68,9.93,81.67,9,2372.91,0.259,7.41,267.53,1
502,14326.88,92.29,0,3.59,84.03,23,0.62,4.65,7.84,80.36,6,4942.16,0.198,4.66,110.23,1
913,9097.81,87.47,5,4.28,77.5,15,4.85,7.0,1.62,94.51,3,3765.06,0.315,2.3,391.12,1
214,5757.8,93.03,1,3.96,96.78,15,3.29,3.56,9.78,83.43,9,3885.44,0.254,6.5,408.63,1
510,13918.51,82.17,1,3.32,93.6,2,4.68,4.11,3.28,83.76,2,3063.31,0.416,5.7,227.58,1
734,9421.33,80.28,4,2.92,95.16,12,2.45,9.58,3.34,88.48,3,3837.66,0.496,9.84,306.79,1
282,14954.32,84.97,1,0.64,85.18,9,0.17,5.31,6.87,85.28,10,3890.28,0.311,7.74,342.58,1
750,17543.68,89.13,2,3.75,85.4,11,2.87,3.96,0.49,92.33,10,1265.44,0.281,9.88,247.06,1
375,5272.41,87.88,4,2.95,84.37,6,2.79,5.9,8.26,89.71,6,1890.43,0.237,2.68,346.23,1
828,13935.71,96.21,3,1.72,77.4,5,0.07,5.1,9.97,82.23,1,1051.87,0.489,7.85,273.65,1
621,8469.21,87.56,3,1.98,72.88,23,4.31,7.84,7.75,95.69,1,3039.23,0.293,5.96,451.23,1
